name,value,year,lastValue,rank
Belgium,1727,2019/1,1727,1
France,1726,2019/1,1726,2
Brazil,1676,2019/1,1676,3
Croatia,1634,2019/1,1634,4
England,1631,2019/1,1631,5
Portugal,1614,2019/1,1614,6
Uruguay,1609,2019/1,1609,7
Switzerland,1599,2019/1,1599,8
Spain,1591,2019/1,1591,9
Denmark,1589,2019/1,1589,10
Argentina,1582,2019/1,1582,11
Colombia,1575,2019/1,1575,12
Chile,1565,2019/1,1565,13
Sweden,1560,2019/1,1560,14
Netherlands,1560,2019/1,1560,15
Germany,1558,2019/1,1558,16
Mexico,1540,2019/1,1540,17
Italy,1539,2019/1,1539,18
Wales,1525,2019/1,1525,19
Poland,1518,2019/1,1518,20
Belgium,1727,2018/12,1727,1
France,1726,2018/12,1726,2
Brazil,1676,2018/12,1676,3
Croatia,1634,2018/12,1634,4
England,1631,2018/12,1631,5
Portugal,1614,2018/12,1614,6
Uruguay,1609,2018/12,1609,7
Switzerland,1599,2018/12,1599,8
Spain,1591,2018/12,1591,9
Denmark,1589,2018/12,1589,10
Argentina,1582,2018/12,1582,11
Colombia,1575,2018/12,1575,12
Chile,1565,2018/12,1565,13
Sweden,1560,2018/12,1560,14
Netherlands,1560,2018/12,1560,15
Germany,1558,2018/12,1558,16
Mexico,1540,2018/12,1540,17
Italy,1539,2018/12,1539,18
Wales,1525,2018/12,1525,19
Poland,1518,2018/12,1518,20
Belgium,1727,2018/11,1733,1
France,1726,2018/11,1732,2
Brazil,1676,2018/11,1669,3
Croatia,1634,2018/11,1635,4
England,1631,2018/11,1619,5
Portugal,1614,2018/11,1616,6
Uruguay,1609,2018/11,1617,7
Switzerland,1599,2018/11,1598,8
Spain,1591,2018/11,1594,9
Denmark,1589,2018/11,1584,10
Argentina,1582,2018/11,1573,11
Colombia,1575,2018/11,1575,12
Chile,1565,2018/11,1568,13
Sweden,1560,2018/11,1548,14
Netherlands,1560,2018/11,1550,15
Germany,1558,2018/11,1555,16
Mexico,1540,2018/11,1549,17
Italy,1539,2018/11,1533,18
Wales,1525,2018/11,1538,19
Poland,1518,2018/11,1523,20
Belgium,1733,2018/10,1729,1
France,1732,2018/10,1729,2
Brazil,1669,2018/10,1663,3
Croatia,1635,2018/10,1634,4
England,1619,2018/10,1612,5
Uruguay,1617,2018/10,1632,6
Portugal,1616,2018/10,1606,7
Switzerland,1598,2018/10,1598,8
Spain,1594,2018/10,1597,9
Denmark,1584,2018/10,1581,10
Colombia,1575,2018/10,1567,11
Argentina,1573,2018/10,1575,12
Chile,1568,2018/10,1568,13
Germany,1555,2018/10,1568,14
Netherlands,1550,2018/10,1540,15
Mexico,1549,2018/10,1550,16
Sweden,1548,2018/10,1550,17
Wales,1538,2018/10,1536,18
Italy,1533,2018/10,1526,19
Peru,1530,2018/10,1525,20
France,1729,2018/9,1726,1
Belgium,1729,2018/9,1723,1
Brazil,1663,2018/9,1657,3
Croatia,1634,2018/9,1643,4
Uruguay,1632,2018/9,1627,5
England,1612,2018/9,1615,6
Portugal,1606,2018/9,1599,7
Switzerland,1598,2018/9,1597,8
Spain,1597,2018/9,1580,9
Denmark,1581,2018/9,1580,10
Argentina,1575,2018/9,1574,11
Chile,1568,2018/9,1570,12
Germany,1568,2018/9,1561,13
Colombia,1567,2018/9,1563,14
Sweden,1550,2018/9,1565,15
Mexico,1550,2018/9,1560,15
Netherlands,1540,2018/9,1540,17
Poland,1537,2018/9,1538,18
Wales,1536,2018/9,1536,19
Italy,1526,2018/9,1532,20
France,1726,2018/8,1576,1
Belgium,1723,2018/8,1592,2
Brazil,1657,2018/8,1596,3
Croatia,1643,2018/8,1528,4
Uruguay,1627,2018/8,1552,5
England,1615,2018/8,1556,6
Portugal,1599,2018/8,1588,7
Switzerland,1597,2018/8,1580,8
Denmark,1580,2018/8,1556,9
Spain,1580,2018/8,1564,10
Argentina,1574,2018/8,1584,11
Chile,1570,2018/8,1568,12
Sweden,1565,2018/8,1512,13
Colombia,1563,2018/8,1544,14
Germany,1561,2018/8,1600,15
Mexico,1560,2018/8,1548,16
Netherlands,1540,2018/8,1540,17
Poland,1538,2018/8,1572,18
Wales,1536,2018/8,1536,19
Peru,1535,2018/8,1560,20
Germany,1558,2018/6,1544,1
Brazil,1431,2018/6,1384,2
Belgium,1298,2018/6,1346,3
Portugal,1274,2018/6,1306,4
Argentina,1241,2018/6,1254,5
Switzerland,1199,2018/6,1179,6
France,1198,2018/6,1166,7
Poland,1183,2018/6,1128,8
Chile,1135,2018/6,1146,9
Spain,1126,2018/6,1162,10
Peru,1125,2018/6,1106,11
Denmark,1051,2018/6,1054,12
England,1051,2018/6,1040,12
Uruguay,1018,2018/6,976,14
Mexico,989,2018/6,1008,15
Colombia,986,2018/6,989,16
Netherlands,981,2018/6,969,17
Wales,953,2018/6,931,18
Italy,951,2018/6,947,19
Croatia,945,2018/6,975,20
Germany,1544,2018/5,1533,1
Brazil,1384,2018/5,1384,2
Belgium,1346,2018/5,1346,3
Portugal,1306,2018/5,1306,4
Argentina,1254,2018/5,1254,5
Switzerland,1179,2018/5,1179,6
France,1166,2018/5,1166,7
Spain,1162,2018/5,1162,8
Chile,1146,2018/5,1146,9
Poland,1128,2018/5,1118,10
Peru,1106,2018/5,1106,11
Denmark,1054,2018/5,1054,12
England,1040,2018/5,1040,13
Tunisia,1012,2018/5,1012,14
Mexico,1008,2018/5,1008,15
Colombia,989,2018/5,989,16
Uruguay,976,2018/5,976,17
Croatia,975,2018/5,975,18
Netherlands,969,2018/5,969,19
Italy,947,2018/5,947,20
Germany,1533,2018/4,1609,1
Brazil,1384,2018/4,1489,2
Belgium,1346,2018/4,1337,3
Portugal,1306,2018/4,1360,4
Argentina,1254,2018/4,1359,5
Switzerland,1179,2018/4,1197,6
France,1166,2018/4,1185,7
Spain,1162,2018/4,1228,8
Chile,1146,2018/4,1161,9
Poland,1118,2018/4,1228,10
Peru,1106,2018/4,1128,11
Denmark,1054,2018/4,1108,12
England,1040,2018/4,1047,13
Tunisia,1012,2018/4,920,14
Mexico,1008,2018/4,1038,15
Colombia,989,2018/4,1106,16
Uruguay,976,2018/4,931,17
Croatia,975,2018/4,1053,18
Netherlands,969,2018/4,964,19
Italy,947,2018/4,1062,20
Germany,1609,2018/3,1602,1
Brazil,1489,2018/3,1484,2
Portugal,1360,2018/3,1358,3
Argentina,1359,2018/3,1348,4
Belgium,1337,2018/3,1325,5
Poland,1228,2018/3,1213,6
Spain,1228,2018/3,1231,6
Switzerland,1197,2018/3,1190,8
France,1185,2018/3,1183,9
Chile,1161,2018/3,1153,10
Peru,1128,2018/3,1128,11
Denmark,1108,2018/3,1099,12
Colombia,1106,2018/3,1095,13
Italy,1062,2018/3,1052,14
Croatia,1053,2018/3,1048,15
England,1047,2018/3,1047,16
Mexico,1038,2018/3,1034,17
Iceland,1026,2018/3,1017,18
Sweden,1002,2018/3,996,19
Wales,984,2018/3,985,20
Germany,1602,2018/2,1602,1
Brazil,1484,2018/2,1483,2
Portugal,1358,2018/2,1358,3
Argentina,1348,2018/2,1348,4
Belgium,1325,2018/2,1325,5
Spain,1231,2018/2,1231,6
Poland,1213,2018/2,1209,7
Switzerland,1190,2018/2,1190,8
France,1183,2018/2,1183,9
Chile,1153,2018/2,1147,10
Peru,1128,2018/2,1128,11
Denmark,1099,2018/2,1099,12
Colombia,1095,2018/2,1078,13
Italy,1052,2018/2,1052,14
Croatia,1048,2018/2,1048,15
England,1047,2018/2,1047,16
Mexico,1034,2018/2,1032,17
Iceland,1017,2018/2,959,18
Sweden,996,2018/2,1000,19
Wales,985,2018/2,985,20
Germany,1602,2018/1,1602,1
Brazil,1483,2018/1,1483,2
Portugal,1358,2018/1,1358,3
Argentina,1348,2018/1,1348,4
Belgium,1325,2018/1,1325,5
Spain,1231,2018/1,1231,6
Poland,1209,2018/1,1209,7
Switzerland,1190,2018/1,1190,8
France,1183,2018/1,1183,9
Chile,1147,2018/1,1162,10
Peru,1128,2018/1,1128,11
Denmark,1099,2018/1,1099,12
Colombia,1078,2018/1,1078,13
Italy,1052,2018/1,1052,14
Croatia,1048,2018/1,1018,15
England,1047,2018/1,1047,16
Mexico,1032,2018/1,1032,17
Sweden,1000,2018/1,998,18
Wales,985,2018/1,985,19
Iceland,959,2018/1,910,20
Germany,1602,2017/12,1602,1
Brazil,1483,2017/12,1483,2
Portugal,1358,2017/12,1358,3
Argentina,1348,2017/12,1348,4
